Week,Search Volume
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,11
2022-04-03,1
2022-04-10,12
2022-04-17,8
2022-04-24,11
2022-05-01,1
2022-05-08,1
2022-05-15,53
2022-05-22,97
2022-05-29,49
2022-06-05,23
2022-06-12,30
2022-06-19,24
2022-06-26,30
2022-07-03,40
2022-07-10,35
2022-07-17,63
2022-07-24,100
2022-07-31,34
2022-08-07,50
2022-08-14,51
2022-08-21,61
2022-08-28,21
2022-09-04,27
2022-09-11,0
2022-09-18,14
2022-09-25,15
2022-10-02,34
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,18
2022-11-06,0
2022-11-13,0
2022-11-20,16
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,10
2023-01-01,0
2023-01-08,22
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,11
2023-03-26,0
2023-04-02,10
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,10
2023-05-14,0
