date,iso3,country,who_region,total_confirmed_cases,total_probable_cases,total_deaths,new_confirmed_cases,new_probable_cases,new_deaths
2022-01-07,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-21,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-28,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-04,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-25,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-15,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-22,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-29,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-07,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-13,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-17,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-18,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-19,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-20,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-21,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-22,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-24,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-25,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-26,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-27,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-29,ABW,Aruba,Region of the Americas,0.0,0.0,0.0,0.0,0.0,0.0
